EXCH,Scrip,Call/Put,Exp Date,STK,BF Qty,Buy Qty,Buy Avg,Sale Qty,Sale Avg,Net Qty,MTM,Avg Rate,LTP,Today Net,Today Avg
FO,CANBK,PE,27-02-2025,93.0,13500,0,0.0,0,0.0,13500,14850.0,7.9,9.0,0,0.0
FO,CANBK,CE,27-02-2025,95.0,-20250,0,0.0,0,0.0,-20250,1012.5,0.2,0.15,0,0.0
FO,CANBK,PE,27-02-2025,95.0,20250,0,0.0,0,0.0,20250,12150.0,9.75,10.35,0,0.0
FO,CANBK,FF,27-02-2025,0.0,60750,0,0.0,0,0.0,60750,-43132.5,85.41,84.7,0,0.0
FO,CANBK,CE,27-02-2025,90.0,-20250,0,0.0,0,0.0,-20250,3037.5,0.6,0.45,0,0.0
FO,CANBK,PE,27-02-2025,90.0,20250,0,0.0,0,0.0,20250,12150.0,5.05,5.65,0,0.0
FO,CANBK,CE,27-02-2025,92.0,-6750,0,0.0,0,0.0,-6750,337.5,0.35,0.3,0,0.0
FO,CANBK,PE,27-02-2025,92.0,6750,0,0.0,0,0.0,6750,2362.5,6.95,7.3,0,0.0
FO,EXIDEIND,CE,27-02-2025,380.0,-3600,0,0.0,0,0.0,-3600,3960.0,2.65,1.55,0,0.0
FO,EXIDEIND,PE,27-02-2025,380.0,3600,0,0.0,0,0.0,3600,10800.0,19.8,22.8,0,0.0
FO,EXIDEIND,FF,27-02-2025,0.0,3600,0,0.0,0,0.0,3600,-14580.0,362.65,358.6,0,0.0
FO,GMRAIRPORT,FF,27-02-2025,0.0,421875,0,0.0,0,0.0,421875,172968.75,70.28,70.69,0,0.0
FO,GMRAIRPORT,CE,27-02-2025,70.0,-101250,0,0.0,0,0.0,-101250,-20250.0,1.9,2.1,0,0.0
FO,GMRAIRPORT,PE,27-02-2025,70.0,101250,0,0.0,0,0.0,101250,-35437.5,1.65,1.3,0,0.0
FO,GMRAIRPORT,CE,27-02-2025,80.0,-90000,0,0.0,0,0.0,-90000,4500.0,0.15,0.1,0,0.0
FO,GMRAIRPORT,PE,27-02-2025,80.0,90000,0,0.0,0,0.0,90000,-27000.0,9.65,9.35,0,0.0
FO,GMRAIRPORT,CE,27-02-2025,65.0,5625,0,0.0,0,0.0,5625,3375.0,5.65,6.25,0,0.0
FO,GMRAIRPORT,PE,27-02-2025,65.0,-5625,0,0.0,0,0.0,-5625,281.25,0.35,0.3,0,0.0
