Formatted  Name  with  Qty
JINDALSTEL25FEB840PE ,3750
JINDALSTEL25FEBFUT ,3750
JIOFIN25FEBFUT ,9900
JIOFIN25FEB240CE ,-3300
JIOFIN25FEB240PE ,3300
JIOFIN25FEB250CE ,-3300
JIOFIN25FEB250PE ,3300
JIOFIN25FEB260CE ,-3300
JIOFIN25FEB260PE ,3300
KALYANKJIL25FEB480CE ,-1550
KALYANKJIL25FEB480PE ,1550
KALYANKJIL25FEB500CE ,-3875
KALYANKJIL25FEB500PE ,3875
KALYANKJIL25FEBFUT ,8525
KALYANKJIL25FEB460CE ,-3100
KALYANKJIL25FEB460PE ,3100
KPITTECH25FEBFUT ,2000
KPITTECH25FEB1440CE ,-2000
KPITTECH25FEB1440PE ,2000
MANAPPURAM25FEBFUT ,60000
MANAPPURAM25FEB190CE ,-9000
MANAPPURAM25FEB190PE ,9000
MANAPPURAM25FEB210CE ,-51000
MANAPPURAM25FEB210PE ,51000
MARUTI25FEB13100CE ,100
MARUTI25FEB13100PE ,-100
MARUTI25FEBFUT ,-100
MOTHERSON25FEBFUT ,14200
MOTHERSON25FEB135CE ,-3550
MOTHERSON25FEB135PE ,3550
MOTHERSON25FEB145CE ,-10650
MOTHERSON25FEB145PE ,10650
NCC25FEB200CE ,-12425
NCC25FEB200PE ,12425
NCC25FEB220CE ,-5325
NCC25FEB220PE ,5325
NCC25FEB240CE ,-1775
NCC25FEB240PE ,1775
NCC25FEBFUT ,28400
NCC25FEB210CE ,-8875
NCC25FEB210PE ,8875
NMDC25FEB66CE ,-108000
NMDC25FEB66PE ,108000
NMDC25FEB67CE ,-67500
NMDC25FEB67PE ,67500
NMDC25FEB68CE ,-121500
NMDC25FEB68PE ,121500
NMDC25FEBFUT ,958500
NMDC25FEB60CE ,-13500
NMDC25FEB60PE ,13500
NMDC25FEB70CE ,-567000
NMDC25FEB70PE ,567000
NMDC25FEB65CE ,-81000
NMDC25FEB65PE ,81000
PEL25FEB1000CE ,-750
PEL25FEB1000PE ,750
PEL25FEBFUT ,750
PNB25FEBFUT ,1856000
PNB25FEB95CE ,-152000
PNB25FEB95PE ,152000
PNB25FEB97CE ,8000
PNB25FEB97PE ,-8000
PNB25FEB99CE ,-16000
PNB25FEB99PE ,16000
PNB25FEB105CE ,-368000
PNB25FEB105PE ,368000
PNB25FEB90CE ,-8000
PNB25FEB90PE ,8000
PNB25FEB96CE ,-16000
